date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
13/12/2017,arsenal,west_ham,1841,1634,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,0,0,
13/12/2017,bournemouth,manchester_united,1650,1909,203,6.65,1.2,48.5,77,12.2,13.4,9,154,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,0,2,
16/12/2017,crystal_palace,leicester,1621,1754,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,0,1,
16/12/2017,huddersfield,watford,1531,1654,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,0,1,
16/12/2017,newcastle_united,arsenal,1605,1837,211,6.72,1,43.8,72.3,11.9,16.9,8,168,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,0,2,
16/12/2017,burnley,brighton,1698,1603,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,0,0,
16/12/2017,southampton,chelsea,1667,1912,197,6.67,1,51,77.5,11.8,17.3,10,239,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,2,
16/12/2017,west_ham,stoke,1638,1650,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,0,1,
16/12/2017,tottenham,manchester_city,1909,1972,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,0,2,
17/12/2017,manchester_united,west_bromwich_albion,1911,1631,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,0,1,
